inTemp,inHum,outTemp,outHum
16.50,70.80,25.80,75.80
16.50,70.90,25.80,75.90
16.50,71.00,25.80,75.90
16.50,71.00,25.80,75.90
16.50,71.10,25.80,76.00
16.40,71.00,25.80,76.00
16.50,70.90,25.80,76.00
16.40,70.80,25.70,76.00
16.40,70.60,25.70,76.00
16.50,70.60,25.70,76.10
16.40,70.60,25.80,76.20
16.40,70.60,25.70,76.10
16.40,70.70,25.70,76.10
16.40,70.90,25.80,76.20
16.40,71.10,25.70,76.20
16.40,71.30,25.80,76.30
16.50,71.50,25.70,76.30
16.40,71.60,25.70,76.40
16.40,71.50,25.70,76.50
16.40,71.60,25.70,76.60
16.30,71.60,25.70,76.60
16.40,71.70,25.70,76.70
16.40,71.80,25.70,76.80
16.40,71.60,25.70,76.80
16.30,71.60,25.70,76.80
16.40,71.70,25.60,76.70
16.40,71.70,25.70,76.80
16.40,71.70,25.60,76.70
16.40,71.60,25.70,76.80
16.30,71.60,25.70,76.90
16.30,71.80,25.60,76.90
16.30,71.90,25.60,76.90
16.30,72.00,25.60,76.90
16.30,72.10,25.60,77.00
16.30,72.20,25.60,77.00
16.30,72.10,25.70,77.10
16.30,72.20,25.60,77.10
16.30,72.20,25.60,77.10
16.30,72.00,25.60,77.10
16.20,72.00,25.50,77.10
16.30,72.20,25.60,77.20
16.30,72.30,25.60,77.30
16.30,72.40,25.50,77.20
16.30,72.30,25.60,77.30
16.30,72.10,25.60,77.40
16.30,72.20,25.50,77.30
16.30,72.20,25.50,77.40
16.30,72.40,25.60,77.50
16.30,72.20,25.50,77.50
16.20,72.20,25.60,77.50
16.30,72.40,25.50,77.60
16.20,72.40,25.60,77.70
16.20,72.40,25.50,77.60
16.30,72.60,25.60,77.70
16.20,72.50,25.50,77.60
16.30,72.70,25.50,77.60
16.30,72.70,25.50,77.60
16.20,72.80,25.60,77.70
16.20,72.80,25.50,77.70
16.20,72.70,25.50,77.70
16.20,72.70,25.50,77.70
16.20,72.70,25.50,77.70
16.20,72.90,25.50,77.70
16.20,72.70,25.50,77.70
16.10,72.40,25.50,77.70
16.20,72.50,25.50,77.80
16.20,72.60,25.50,77.90
16.20,72.70,25.50,77.90
16.20,72.80,25.50,77.90
16.10,72.80,25.50,78.00
16.20,73.00,25.50,78.00
16.20,73.00,25.40,77.90
16.20,73.10,25.40,78.00
16.20,73.10,25.50,78.10
16.20,73.10,25.40,78.00
16.10,73.10,25.40,78.00
16.10,73.10,25.40,78.10
16.20,73.20,25.40,78.00
16.20,73.20,25.40,78.10
16.10,73.10,25.40,78.10
16.10,73.20,25.40,78.20
16.10,73.30,25.40,78.20
16.10,73.40,25.40,78.20
16.10,73.40,25.40,78.30
16.10,73.50,25.40,78.30
16.10,73.50,25.30,78.30
16.10,73.60,25.40,78.40
16.10,73.60,25.40,78.40
16.10,73.60,25.40,78.40
16.10,73.60,25.40,78.50
16.10,73.70,25.30,78.40
16.10,73.60,25.40,78.50
16.10,73.60,25.30,78.40
16.10,73.60,25.40,78.60
16.10,73.70,25.40,78.60
16.10,73.70,25.40,78.60
16.00,73.70,25.30,78.60
16.00,73.70,25.30,78.70
16.10,73.70,25.30,78.70
16.10,73.60,25.30,78.70
16.00,73.50,25.30,78.70
16.00,73.50,25.30,78.70
16.00,73.50,25.30,78.80
16.00,73.40,25.30,78.80
16.10,73.50,25.30,78.80
16.10,73.50,25.30,78.80
16.00,73.50,25.30,78.80
16.00,73.50,25.30,78.80
16.00,73.40,25.30,78.90
16.00,73.40,25.30,78.90
16.00,73.50,25.30,79.00
16.00,73.60,25.30,79.00
16.00,73.60,25.30,79.00
16.00,73.40,25.30,79.00
16.00,73.20,25.30,79.00
16.00,73.30,25.30,79.00
16.00,73.40,25.30,79.00
16.00,73.50,25.30,79.10
16.00,73.60,25.30,79.10
16.00,73.60,25.30,79.10
16.00,73.50,25.30,79.00
16.00,73.30,25.30,79.00
16.00,73.10,25.30,79.00
15.90,73.10,25.30,79.20
15.90,73.10,25.30,79.10
15.90,73.20,25.30,79.10
15.90,73.20,25.30,79.20
16.00,72.90,25.30,79.10
16.00,72.90,25.30,79.20
15.90,73.00,25.30,79.10
15.90,73.10,25.30,79.10
16.00,73.30,25.30,79.10
15.90,73.40,25.30,79.10
16.00,73.40,25.30,79.10
15.90,73.20,25.30,79.00
15.90,73.30,25.30,79.00
15.90,73.40,25.40,79.00
15.90,73.40,25.30,79.00
15.90,73.40,25.30,79.00
15.90,73.40,25.30,79.00
15.90,73.40,25.40,79.00
15.90,73.50,25.40,79.00
15.90,73.50,25.30,78.90
15.90,73.60,25.40,79.00
15.90,73.60,25.30,79.20
15.90,73.50,25.40,79.00
15.90,73.20,25.40,79.00
15.90,73.00,25.40,78.80
15.90,72.90,25.40,78.80
15.90,73.00,25.40,78.70
15.80,72.90,25.50,78.80
15.90,73.10,25.40,78.60
15.80,73.10,25.50,78.70
15.90,72.90,25.50,78.60
15.90,72.50,25.40,78.50
15.90,72.50,25.50,78.50
15.90,72.60,25.50,78.50
15.80,72.70,25.50,78.50
15.70,72.70,25.50,78.50
15.80,72.70,25.50,78.40
15.80,72.80,25.50,78.40
15.80,72.60,25.50,78.40
15.80,72.40,25.60,78.50
15.80,72.40,25.50,78.40
15.80,72.60,25.50,78.30
15.80,72.80,25.60,78.30
15.80,72.90,25.60,78.30
15.70,73.00,25.60,78.20
15.80,73.10,25.60,78.10
15.80,73.10,25.60,78.10
15.80,73.10,25.60,78.00
15.70,73.00,25.60,78.10
15.80,73.10,25.60,78.10
15.70,73.00,25.60,78.00
15.80,72.80,25.60,77.90
15.70,72.50,25.60,77.90
15.80,72.50,25.70,78.00
