Temperature_A,Humidity_A,Temperature_B,Humidity_B,Temperature_C,Humidity_C,Weight_A1,Weight_A2,Weight_A3,Weight_B1,Weight_B2,Weight_B3,Weight_C1,Weight_C2,Weight_C3,Priority_A,Priority_B,Priority_C
20.6,58.9,26.3,75.0,35.4,73.0,57.0,0.0,0.0,17.0,17.2,21.4,35.6,39.2,16.0,Baixa,Baixa,Média
20.5,59.0,26.4,75.3,35.4,73.2,57.0,0.0,0.0,17.0,17.2,14.4,8.0,39.2,16.0,Baixa,Baixa,Média
20.5,59.1,26.4,75.1,35.4,73.1,57.0,0.0,0.0,17.0,17.2,14.4,8.0,39.2,16.0,Baixa,Baixa,Média
20.5,58.9,26.3,74.9,35.4,72.9,57.0,0.0,0.0,17.0,17.2,14.4,8.0,39.2,16.0,Baixa,Baixa,Média
20.5,58.9,26.4,74.9,35.4,72.9,57.0,0.0,0.0,17.0,17.2,14.4,8.0,39.2,16.0,Baixa,Baixa,Média
20.4,58.9,26.4,75.1,35.4,73.0,57.0,0.0,0.0,17.0,17.2,14.4,8.0,39.2,16.0,Baixa,Baixa,Média
20.4,58.8,26.4,75.3,35.4,73.0,57.0,0.0,0.0,17.0,17.2,14.4,8.0,39.2,16.0,Baixa,Baixa,Média
20.4,59.0,26.4,75.1,35.4,73.0,57.0,0.0,0.0,17.0,17.2,14.4,8.0,39.2,16.0,Baixa,Baixa,Média
20.4,58.9,26.4,74.7,35.4,72.8,57.0,0.0,0.0,17.0,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
20.3,58.9,26.4,74.6,35.4,72.8,57.0,0.0,0.0,17.0,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
20.2,58.8,26.4,74.5,35.3,72.6,57.0,0.0,0.0,17.0,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
20.3,58.9,26.4,74.5,35.4,72.7,57.0,0.0,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
20.2,58.8,26.4,74.4,35.3,72.6,57.0,0.0,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
20.2,58.8,26.5,74.4,35.4,72.6,57.0,0.0,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
20.2,58.8,26.4,74.4,35.3,72.6,57.0,0.0,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
20.2,58.7,26.5,74.3,35.4,72.5,57.0,117.0,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
20.1,58.7,26.5,74.2,35.3,72.4,57.0,117.0,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
20.1,58.7,26.4,74.1,35.2,72.4,57.0,117.0,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
20.1,58.8,26.5,74.1,35.3,72.4,57.0,7.9,0.0,54.6,17.2,82.0,85.4,39.2,16.0,Baixa,Baixa,Média
